Name,Lat,Long,region,area
沙崙,25.189837, 121.415208,1,新北市三芝區
白沙灣,25.284993, 121.518117,1,新北市石門區
餐廳,25.288067, 121.530991,1,新北市石門區
中角,25.239796, 121.634150,1,新北市金山區
翡翠灣,25.188319, 121.686599,1,新北市萬里區
萬里,25.181168, 121.691742,1,新北市萬里區
福隆,25.020753, 121.949224,1,新北市貢寮區
大溪蜜月灣,24.932864, 121.886127,2,宜蘭縣頭城鎮
梗訪,24.902952, 121.866076,2,宜蘭縣頭城鎮
雙獅,24.889532, 121.850326,2,宜蘭縣頭城鎮
外澳,24.882237, 121.845755,2,宜蘭縣頭城鎮
烏石港(北堤),24.873888, 121.842095,2,宜蘭縣頭城鎮
烏石港(南堤),24.864036, 121.839217,2,宜蘭縣頭城鎮
臭水,24.855455, 121.833085,2,宜蘭縣頭城鎮
竹安,24.817059, 121.821797,2,宜蘭縣頭城鎮
清水,24.696896, 121.837984,2,宜蘭縣五結鄉
無尾港,24.610918, 121.864709,2,宜蘭縣蘇澳鎮
環保公園,24.008892, 121.647403,3,花蓮縣新城鄉
花蓮北濱,23.977367, 121.620362,3,花蓮縣花蓮市
雙橋,23.852179, 121.595889,3,花蓮縣壽豐鄉
鹽寮漁港,23.827862, 121.585576,3,花蓮縣壽豐鄉
磯崎,23.700954, 121.550609,3,花蓮縣豐濱鄉
八仙洞,23.396802, 121.480575,3,臺東縣長濱鄉
宜灣,23.208581, 121.400537,3,臺東縣成功鎮
成功,23.116036, 121.396666,3,臺東縣成功鎮
都歷,23.021497, 121.335738,3,臺東縣東河鄉
東河,22.973453, 121.312559,3,臺東縣東河鄉
金樽,22.956006, 121.295948,3,臺東縣東河鄉
小漁港,22.953196, 121.291068,3,臺東縣東河鄉
興昌,22.905628, 121.262366,3,臺東縣東河鄉
都蘭,22.876119, 121.238532,3,臺東縣東河鄉
台東,22.737068, 121.146495,3,臺東縣臺東市
九棚,22.109714, 120.891987,4,屏東縣滿州鄉
佳樂水,21.988227, 120.847271,4,屏東縣滿州鄉
南灣,21.958497, 120.761021,4,屏東縣恆春鎮
射寮,22.057001, 120.704330,4,屏東縣車城鄉
旗津,22.610359, 120.265468,5,高雄市旗津區
漁光島,22.980698, 120.153255,5,臺南市安平區
四草橋,22.992855, 120.141814,5,臺南市安平區
松柏港,24.428558, 120.612715,5,臺中市大甲區
外埔漁港,24.649003, 120.768933,5,苗栗縣後龍鎮
竹南,24.695913, 120.851283,5,苗栗縣竹南鎮
